연도,월,채널,대분류,중분류,금액
2022,01,AFC,건강,순수형,0.4
2022,01,AFC,건강,특화형,0.1
2022,01,AFC,건강,환급형,0.3
2022,01,AFC,연금저축,연금/저축,0.9
2022,01,AFC,종신,목적종신,0.7
2022,01,AFC,종신,일반종신,0.2
2022,01,BA,건강,순수형,0.0
2022,01,BA,건강,특화형,0.0
2022,01,BA,건강,환급형,0.0
2022,01,BA,연금저축,연금/저축,23.7
2022,01,BA,종신,목적종신,0.0
2022,01,BA,종신,일반종신,0.0
2022,01,FC,건강,순수형,20.5
2022,01,FC,건강,특화형,3.1
2022,01,FC,건강,환급형,14.4
2022,01,FC,연금저축,연금/저축,1.9
2022,01,FC,종신,목적종신,32.4
2022,01,FC,종신,일반종신,11.4
2022,01,GA,건강,순수형,4.4
2022,01,GA,건강,특화형,0.7
2022,01,GA,건강,환급형,3.1
2022,01,GA,연금저축,연금/저축,1.9
2022,01,GA,종신,목적종신,6.9
2022,01,GA,종신,일반종신,2.4
2022,01,GFC,건강,순수형,4.1
2022,01,GFC,건강,특화형,0.6
2022,01,GFC,건강,환급형,2.9
2022,01,GFC,연금저축,연금/저축,1.9
2022,01,GFC,종신,목적종신,6.5
2022,01,GFC,종신,일반종신,2.3
2022,01,금융서비스,건강,순수형,0.9
2022,01,금융서비스,건강,특화형,0.1
2022,01,금융서비스,건강,환급형,0.6
2022,01,금융서비스,연금저축,연금/저축,1.9
2022,01,금융서비스,종신,목적종신,1.4
2022,01,금융서비스,종신,일반종신,0.5
2022,01,디지털,건강,순수형,0.2
2022,01,디지털,건강,특화형,0.0
2022,01,디지털,건강,환급형,0.1
2022,01,디지털,연금저축,연금/저축,4.7
2022,01,디지털,종신,목적종신,0.2
2022,01,디지털,종신,일반종신,0.1
2022,01,신채널,건강,순수형,0.4
2022,01,신채널,건강,특화형,0.0
2022,01,신채널,건강,환급형,0.3
2022,01,신채널,연금저축,연금/저축,1.0
2022,01,신채널,종신,목적종신,0.7
