연도,월,월초,보장월초,건강월초,건강_순수형,건강_환급형,건강_특화형,종신월초,종신_목적종신,종신_일반종신,연금월초,연금_세부,저축_세부,시장전체,M/S,경쟁사보장월초,영업일수,판촉비총량,채널합계검산,상품합계검산,합계차이
2022,01,161.0,123.1,57.2,30.9,21.7,4.6,65.9,48.8,17.1,37.9,31.6,6.3,770.3,20.9,159.3,20,8.4,161.0,161.0,0.0
2022,02,157.8,120.7,56.7,30.6,21.5,4.6,64.0,47.4,16.6,37.1,29.9,7.2,740.8,21.3,156.1,19,8.8,157.8,157.8,0.0
2022,03,173.5,132.7,59.7,32.2,22.7,4.8,73.0,54.0,19.0,40.8,33.3,7.5,799.5,21.7,171.8,23,9.2,173.5,173.5,0.0
2022,04,174.2,133.2,60.6,32.7,23.0,4.9,72.6,53.7,18.9,41.0,33.8,7.2,849.8,20.5,172.5,20,8.0,174.2,174.2,0.0
2022,05,171.2,130.9,60.2,32.5,22.9,4.8,70.7,52.3,18.4,40.3,33.7,6.6,819.1,20.9,169.5,20,8.4,171.2,171.2,0.0
2022,06,165.0,126.2,58.7,31.7,22.3,4.7,67.5,50.0,17.5,38.8,31.2,7.6,774.6,21.3,166.4,22,8.8,165.0,165.0,0.0
2022,07,165.3,126.4,59.4,32.1,22.6,4.7,67.0,49.6,17.4,38.9,31.7,7.2,761.8,21.7,163.6,21,9.2,165.3,165.3,0.0
2022,08,159.4,121.9,54.9,29.6,20.9,4.4,67.0,49.6,17.4,37.5,30.9,6.6,777.6,20.5,157.7,22,8.0,159.4,159.4,0.0
2022,09,168.0,128.5,58.5,31.6,22.2,4.7,70.0,51.8,18.2,39.5,33.0,6.5,803.8,20.9,166.3,20,8.4,168.0,168.0,0.0
2022,10,178.6,136.6,62.8,33.9,23.9,5.0,73.8,54.6,19.2,42.0,33.8,8.2,838.5,21.3,176.9,20,8.8,178.6,178.6,0.0
2022,11,177.6,135.8,63.1,34.1,24.0,5.0,72.7,53.8,18.9,41.8,34.1,7.7,818.4,21.7,175.9,22,9.2,177.6,177.6,0.0
2022,12,188.2,143.9,67.6,36.5,25.7,5.4,76.3,56.5,19.8,44.3,36.5,7.8,918.0,20.5,186.5,22,8.0,188.2,188.2,0.0
2023,01,234.8,191.7,97.8,52.8,37.2,7.8,93.9,69.5,24.4,43.1,35.6,7.5,1082.0,21.7,233.1,20,11.2,234.8,234.8,0.0
2023,02,230.3,188.0,92.1,49.7,35.0,7.4,95.9,71.0,24.9,42.3,35.3,7.0,1042.1,22.1,228.6,18,11.6,230.3,230.3,0.0
2023,03,246.1,200.9,99.4,53.7,37.8,7.9,101.5,75.1,26.4,45.2,36.4,8.8,1093.8,22.5,244.4,24,12.0,246.1,246.1,0.0
2023,04,254.1,207.4,103.7,56.0,39.4,8.3,103.7,76.7,27.0,46.7,38.1,8.6,1193.0,21.3,252.4,20,10.8,254.1,254.1,0.0
2023,05,242.7,198.1,100.0,54.0,38.0,8.0,98.1,72.6,25.5,44.6,36.8,7.8,1118.4,21.7,241.0,21,11.2,242.7,242.7,0.0
2023,06,240.7,196.5,100.2,54.1,38.1,8.0,96.3,71.3,25.0,44.2,36.9,7.3,1089.1,22.1,239.0,22,11.6,240.7,240.7,0.0
2023,07,234.5,191.4,93.8,50.7,35.6,7.5,97.6,72.2,25.4,43.1,34.7,8.4,1042.2,22.5,232.8,21,12.0,234.5,234.5,0.0
2023,08,232.4,189.7,93.9,50.7,35.7,7.5,95.8,70.9,24.9,42.7,34.8,7.9,1091.1,21.3,230.7,23,10.8,232.4,232.4,0.0
2023,09,245.1,200.1,100.1,54.1,38.0,8.0,100.0,74.0,26.0,45.0,37.1,7.9,1129.5,21.7,243.4,20,11.2,245.1,245.1,0.0
2023,10,253.4,206.9,104.5,56.4,39.7,8.4,102.4,75.8,26.6,46.5,38.8,7.7,1146.6,22.1,251.7,21,11.6,253.4,253.4,0.0
