source_kind,source_name,source_key,year,month,chunk_no,chunk_type,search_text,embedding,embedding_model,embedding_updated_at,source_file_id
summary_row,monthly_summary.csv,2022-01,2022,1,1,summary_row,"2022년 1월 전사 월초 161, 건강 57.2, 종신 65.9, 연금 37.9, 시장전체 770.3, M/S 20.9, 판촉비총량 8.4",,,,
summary_row,monthly_summary.csv,2022-02,2022,2,1,summary_row,"2022년 2월 전사 월초 157.8, 건강 56.7, 종신 64, 연금 37.1, 시장전체 740.8, M/S 21.3, 판촉비총량 8.8",,,,
summary_row,monthly_summary.csv,2022-03,2022,3,1,summary_row,"2022년 3월 전사 월초 173.5, 건강 59.7, 종신 73, 연금 40.8, 시장전체 799.5, M/S 21.7, 판촉비총량 9.2",,,,
summary_row,monthly_summary.csv,2022-04,2022,4,1,summary_row,"2022년 4월 전사 월초 174.2, 건강 60.6, 종신 72.6, 연금 41, 시장전체 849.8, M/S 20.5, 판촉비총량 8",,,,
summary_row,monthly_summary.csv,2022-05,2022,5,1,summary_row,"2022년 5월 전사 월초 171.2, 건강 60.2, 종신 70.7, 연금 40.3, 시장전체 819.1, M/S 20.9, 판촉비총량 8.4",,,,
summary_row,monthly_summary.csv,2022-06,2022,6,1,summary_row,"2022년 6월 전사 월초 165, 건강 58.7, 종신 67.5, 연금 38.8, 시장전체 774.6, M/S 21.3, 판촉비총량 8.8",,,,
summary_row,monthly_summary.csv,2022-07,2022,7,1,summary_row,"2022년 7월 전사 월초 165.3, 건강 59.4, 종신 67, 연금 38.9, 시장전체 761.8, M/S 21.7, 판촉비총량 9.2",,,,
summary_row,monthly_summary.csv,2022-08,2022,8,1,summary_row,"2022년 8월 전사 월초 159.4, 건강 54.9, 종신 67, 연금 37.5, 시장전체 777.6, M/S 20.5, 판촉비총량 8",,,,
summary_row,monthly_summary.csv,2022-09,2022,9,1,summary_row,"2022년 9월 전사 월초 168, 건강 58.5, 종신 70, 연금 39.5, 시장전체 803.8, M/S 20.9, 판촉비총량 8.4",,,,
summary_row,monthly_summary.csv,2022-10,2022,10,1,summary_row,"2022년 10월 전사 월초 178.6, 건강 62.8, 종신 73.8, 연금 42, 시장전체 838.5, M/S 21.3, 판촉비총량 8.8",,,,
