year,month,month_key,month_open,coverage,health_month_open,health_pure,health_refund,health_special,life_month_open,life_target,life_general,annuity_month_open,annuity_detail,savings_detail,market_total,market_share,competitor_coverage,business_days,promo_cost_total,channel_check,product_check,gap
2022,1,2022-01,161,123.1,57.2,30.9,21.7,4.6,65.9,48.8,17.1,37.9,31.6,6.3,770.3,20.9,159.3,20,8.4,161,161,0
2022,2,2022-02,157.8,120.7,56.7,30.6,21.5,4.6,64,47.4,16.6,37.1,29.9,7.2,740.8,21.3,156.1,19,8.8,157.8,157.8,0
2022,3,2022-03,173.5,132.7,59.7,32.2,22.7,4.8,73,54,19,40.8,33.3,7.5,799.5,21.7,171.8,23,9.2,173.5,173.5,0
2022,4,2022-04,174.2,133.2,60.6,32.7,23,4.9,72.6,53.7,18.9,41,33.8,7.2,849.8,20.5,172.5,20,8,174.2,174.2,0
2022,5,2022-05,171.2,130.9,60.2,32.5,22.9,4.8,70.7,52.3,18.4,40.3,33.7,6.6,819.1,20.9,169.5,20,8.4,171.2,171.2,0
2022,6,2022-06,165,126.2,58.7,31.7,22.3,4.7,67.5,50,17.5,38.8,31.2,7.6,774.6,21.3,166.4,22,8.8,165,165,0
2022,7,2022-07,165.3,126.4,59.4,32.1,22.6,4.7,67,49.6,17.4,38.9,31.7,7.2,761.8,21.7,163.6,21,9.2,165.3,165.3,0
2022,8,2022-08,159.4,121.9,54.9,29.6,20.9,4.4,67,49.6,17.4,37.5,30.9,6.6,777.6,20.5,157.7,22,8,159.4,159.4,0
2022,9,2022-09,168,128.5,58.5,31.6,22.2,4.7,70,51.8,18.2,39.5,33,6.5,803.8,20.9,166.3,20,8.4,168,168,0
2022,10,2022-10,178.6,136.6,62.8,33.9,23.9,5,73.8,54.6,19.2,42,33.8,8.2,838.5,21.3,176.9,20,8.8,178.6,178.6,0
2022,11,2022-11,177.6,135.8,63.1,34.1,24,5,72.7,53.8,18.9,41.8,34.1,7.7,818.4,21.7,175.9,22,9.2,177.6,177.6,0
2022,12,2022-12,188.2,143.9,67.6,36.5,25.7,5.4,76.3,56.5,19.8,44.3,36.5,7.8,918,20.5,186.5,22,8,188.2,188.2,0
