year,month,month_key,product_name,product_group,major_category,minor_category,month_open,health_month_open,life_month_open,include_in_body,managed,description
2022,1,2022-01,가칭신상품_202201_순수형,순수형,건강,순수형,8.1,8.1,0,true,true,월별 1개 신상품. 상품 중분류는 순수형
2022,1,2022-01,더퍼스트_순수형,순수형,건강,순수형,4.7,4.7,0,true,true,세부관리 상품. 상품 중분류는 순수형
2022,1,2022-01,플러스원_20년_목적종신,목적종신,종신,목적종신,2.3,0,2.3,true,true,세부관리 상품. 상품 중분류는 목적종신
2022,1,2022-01,플러스원_20년_일반종신,일반종신,종신,일반종신,0.8,0,0.8,true,true,세부관리 상품. 상품 중분류는 일반종신
2022,2,2022-02,가칭신상품_202202_환급형,환급형,건강,환급형,6.5,6.5,0,true,true,월별 1개 신상품. 상품 중분류는 환급형
2022,2,2022-02,더퍼스트_순수형,순수형,건강,순수형,4.9,4.9,0,true,true,세부관리 상품. 상품 중분류는 순수형
2022,2,2022-02,플러스원_20년_목적종신,목적종신,종신,목적종신,2.4,0,2.4,true,true,세부관리 상품. 상품 중분류는 목적종신
2022,2,2022-02,플러스원_20년_일반종신,일반종신,종신,일반종신,0.9,0,0.9,true,true,세부관리 상품. 상품 중분류는 일반종신
2022,3,2022-03,가칭신상품_202203_특화형,특화형,건강,특화형,7.7,7.7,0,true,true,월별 1개 신상품. 상품 중분류는 특화형
2022,3,2022-03,더퍼스트_순수형,순수형,건강,순수형,3.8,3.8,0,true,true,세부관리 상품. 상품 중분류는 순수형
2022,3,2022-03,플러스원_20년_목적종신,목적종신,종신,목적종신,2.3,0,2.3,true,true,세부관리 상품. 상품 중분류는 목적종신
2022,3,2022-03,플러스원_20년_일반종신,일반종신,종신,일반종신,0.8,0,0.8,true,true,세부관리 상품. 상품 중분류는 일반종신
2022,4,2022-04,가칭신상품_202204_목적종신,목적종신,종신,목적종신,8.3,0,8.3,true,true,월별 1개 신상품. 상품 중분류는 목적종신
2022,4,2022-04,더퍼스트_순수형,순수형,건강,순수형,4.3,4.3,0,true,true,세부관리 상품. 상품 중분류는 순수형
