연도,월,상품명,구분,대분류,중분류,월초,건강월초,종신월초,본표포함여부,세부관리여부,설명
2022,01,가칭신상품_202201_순수형,순수형,건강,순수형,8.1,8.1,0.0,Y,Y,월별 1개 신상품. 상품 중분류는 순수형
2022,01,더퍼스트_순수형,순수형,건강,순수형,4.7,4.7,0.0,Y,Y,세부관리 상품. 상품 중분류는 순수형
2022,01,플러스원_20년_목적종신,목적종신,종신,목적종신,2.3,0.0,2.3,Y,Y,세부관리 상품. 상품 중분류는 목적종신
2022,01,플러스원_20년_일반종신,일반종신,종신,일반종신,0.8,0.0,0.8,Y,Y,세부관리 상품. 상품 중분류는 일반종신
2022,02,가칭신상품_202202_환급형,환급형,건강,환급형,6.5,6.5,0.0,Y,Y,월별 1개 신상품. 상품 중분류는 환급형
2022,02,더퍼스트_순수형,순수형,건강,순수형,4.9,4.9,0.0,Y,Y,세부관리 상품. 상품 중분류는 순수형
2022,02,플러스원_20년_목적종신,목적종신,종신,목적종신,2.4,0.0,2.4,Y,Y,세부관리 상품. 상품 중분류는 목적종신
2022,02,플러스원_20년_일반종신,일반종신,종신,일반종신,0.9,0.0,0.9,Y,Y,세부관리 상품. 상품 중분류는 일반종신
2022,03,가칭신상품_202203_특화형,특화형,건강,특화형,7.7,7.7,0.0,Y,Y,월별 1개 신상품. 상품 중분류는 특화형
2022,03,더퍼스트_순수형,순수형,건강,순수형,3.8,3.8,0.0,Y,Y,세부관리 상품. 상품 중분류는 순수형
2022,03,플러스원_20년_목적종신,목적종신,종신,목적종신,2.3,0.0,2.3,Y,Y,세부관리 상품. 상품 중분류는 목적종신
2022,03,플러스원_20년_일반종신,일반종신,종신,일반종신,0.8,0.0,0.8,Y,Y,세부관리 상품. 상품 중분류는 일반종신
2022,04,가칭신상품_202204_목적종신,목적종신,종신,목적종신,8.3,0.0,8.3,Y,Y,월별 1개 신상품. 상품 중분류는 목적종신
2022,04,더퍼스트_순수형,순수형,건강,순수형,4.3,4.3,0.0,Y,Y,세부관리 상품. 상품 중분류는 순수형
2022,04,플러스원_20년_목적종신,목적종신,종신,목적종신,2.4,0.0,2.4,Y,Y,세부관리 상품. 상품 중분류는 목적종신
2022,04,플러스원_20년_일반종신,일반종신,종신,일반종신,0.9,0.0,0.9,Y,Y,세부관리 상품. 상품 중분류는 일반종신
2022,05,가칭신상품_202205_순수형,순수형,건강,순수형,8.6,8.6,0.0,Y,Y,월별 1개 신상품. 상품 중분류는 순수형
2022,05,더퍼스트_순수형,순수형,건강,순수형,4.6,4.6,0.0,Y,Y,세부관리 상품. 상품 중분류는 순수형
2022,05,플러스원_20년_목적종신,목적종신,종신,목적종신,2.6,0.0,2.6,Y,Y,세부관리 상품. 상품 중분류는 목적종신
2022,05,플러스원_20년_일반종신,일반종신,종신,일반종신,0.9,0.0,0.9,Y,Y,세부관리 상품. 상품 중분류는 일반종신
2022,06,가칭신상품_202206_환급형,환급형,건강,환급형,6.8,6.8,0.0,Y,Y,월별 1개 신상품. 상품 중분류는 환급형
2022,06,더퍼스트_순수형,순수형,건강,순수형,4.8,4.8,0.0,Y,Y,세부관리 상품. 상품 중분류는 순수형
2022,06,플러스원_20년_목적종신,목적종신,종신,목적종신,2.1,0.0,2.1,Y,Y,세부관리 상품. 상품 중분류는 목적종신
2022,06,플러스원_20년_일반종신,일반종신,종신,일반종신,0.8,0.0,0.8,Y,Y,세부관리 상품. 상품 중분류는 일반종신
2022,07,가칭신상품_202207_특화형,특화형,건강,특화형,7.3,7.3,0.0,Y,Y,월별 1개 신상품. 상품 중분류는 특화형
2022,07,더퍼스트_순수형,순수형,건강,순수형,5.2,5.2,0.0,Y,Y,세부관리 상품. 상품 중분류는 순수형
